iri	VeryPositive	Positive	Neutral	Negative	VeryNegative	count
http://purl.obolibrary.org/obo/DOID_0110469	2.0	7.0	23.0	57.0	11.0	1
http://purl.obolibrary.org/obo/DOID_0050588	2.1875	6.125	21.8125	55.875	13.25	16
http://purl.obolibrary.org/obo/DOID_0060808	2.0	2.0	19.0	56.0	21.0	1
http://purl.obolibrary.org/obo/DOID_0110796	2.0	4.0	23.0	60.0	12.0	1
http://purl.obolibrary.org/obo/DOID_0060065	1.0	2.0	10.0	64.0	23.0	1
http://purl.obolibrary.org/obo/DOID_0110232	2.0	13.0	50.0	30.0	4.0	1
http://purl.obolibrary.org/obo/DOID_0050614	3.0	8.0	24.0	55.0	11.0	1
http://purl.obolibrary.org/obo/DOID_3819	1.0	1.0	13.0	48.0	36.0	1
http://purl.obolibrary.org/obo/DOID_0050254	1.0	1.0	13.0	51.0	34.0	1
http://purl.obolibrary.org/obo/DOID_0090077	1.0	2.0	22.0	60.0	15.0	1
http://purl.obolibrary.org/obo/DOID_0080036	1.0	3.0	22.0	57.0	17.0	1
http://purl.obolibrary.org/obo/DOID_0080797	6.0	13.0	23.0	40.0	18.0	1
http://purl.obolibrary.org/obo/DOID_0060581	5.0	12.0	17.0	52.0	13.0	1
http://purl.obolibrary.org/obo/DOID_4376	1.3333333333333333	6.0	39.0	48.0	6.333333333333333	3
http://purl.obolibrary.org/obo/DOID_8912	1.0	1.0	6.0	25.0	67.0	1
http://purl.obolibrary.org/obo/DOID_10193	2.0	4.0	17.0	55.0	22.0	1
http://purl.obolibrary.org/obo/DOID_0110915	2.0	6.0	24.0	56.0	11.0	1
http://purl.obolibrary.org/obo/DOID_3703	5.0	13.0	17.0	52.0	13.0	1
http://purl.obolibrary.org/obo/DOID_0050025	1.0	0.0	9.0	47.0	44.0	1
http://purl.obolibrary.org/obo/DOID_12003	5.0	19.0	36.0	33.0	7.0	1
http://purl.obolibrary.org/obo/DOID_0110230	2.0	10.0	38.0	43.0	7.0	1
http://purl.obolibrary.org/obo/DOID_14482	1.0	1.0	11.0	48.0	39.0	1
http://purl.obolibrary.org/obo/DOID_3345	4.5	15.0	24.0	43.0	14.0	2
http://purl.obolibrary.org/obo/DOID_0110236	2.0	4.0	16.0	64.0	14.0	1
http://purl.obolibrary.org/obo/DOID_0050489	2.0	6.0	31.0	52.0	8.0	1
http://purl.obolibrary.org/obo/DOID_0060848	1.0	1.0	14.0	48.0	36.0	1
http://purl.obolibrary.org/obo/DOID_0070092	2.0	5.0	14.0	63.0	15.0	1
http://purl.obolibrary.org/obo/DOID_1325	3.5	13.5	36.0	39.5	7.5	2
http://purl.obolibrary.org/obo/DOID_0111642	2.0	5.0	26.0	56.0	11.0	1
http://purl.obolibrary.org/obo/DOID_0060576	2.0	2.0	12.0	67.0	17.0	1
http://purl.obolibrary.org/obo/DOID_4467	1.0	6.0	43.0	44.0	5.0	1
http://purl.obolibrary.org/obo/DOID_1826	1.7624309392265194	3.0718232044198897	15.685082872928177	53.78453038674033	25.7292817679558	181
http://purl.obolibrary.org/obo/DOID_0080457	1.0	2.0	16.0	53.0	28.0	1
http://purl.obolibrary.org/obo/DOID_0080463	1.0	1.0	13.0	48.0	37.0	1
http://purl.obolibrary.org/obo/DOID_9108	2.5	8.0	24.5	54.0	11.0	2
http://purl.obolibrary.org/obo/DOID_0050686	3.531738730450782	10.728610855565778	23.339466421343147	49.074517019319224	13.28978840846366	1087
http://purl.obolibrary.org/obo/DOID_0110937	2.0	1.0	11.0	48.0	39.0	1
http://purl.obolibrary.org/obo/DOID_4717	2.0	6.0	31.0	54.0	9.0	1
http://purl.obolibrary.org/obo/DOID_6050	4.357142857142857	11.0	21.571428571428573	48.0	15.428571428571429	14
http://purl.obolibrary.org/obo/DOID_0110968	1.0	2.0	20.0	60.0	18.0	1
http://purl.obolibrary.org/obo/DOID_0110476	1.0	4.0	27.0	56.0	12.0	1
http://purl.obolibrary.org/obo/DOID_0111790	3.0	9.0	26.0	51.0	11.0	1
http://purl.obolibrary.org/obo/DOID_0060791	1.0	0.0	6.0	52.0	40.0	1
http://purl.obolibrary.org/obo/DOID_4959	2.1666666666666665	3.6666666666666665	13.833333333333334	52.833333333333336	27.666666666666668	6
http://purl.obolibrary.org/obo/DOID_0112082	1.0	2.0	15.0	69.0	13.0	1
http://purl.obolibrary.org/obo/DOID_13310	2.0	7.0	32.0	51.0	8.0	1
http://purl.obolibrary.org/obo/DOID_5679	1.6717171717171717	4.5606060606060606	20.656565656565657	57.792929292929294	15.48989898989899	198
http://purl.obolibrary.org/obo/DOID_1022	2.0	3.0	17.0	63.0	15.0	1
http://purl.obolibrary.org/obo/DOID_0090044	1.0	1.0	23.0	40.0	35.0	1
http://purl.obolibrary.org/obo/DOID_8200	1.375	3.875	23.25	42.375	29.125	8
http://purl.obolibrary.org/obo/DOID_0111659	3.0	10.0	25.0	50.0	13.0	1
http://purl.obolibrary.org/obo/DOID_0070113	3.0	5.0	14.0	62.0	16.0	1
http://purl.obolibrary.org/obo/DOID_0050473	1.0	3.0	17.0	67.0	12.0	1
http://purl.obolibrary.org/obo/DOID_6786	5.0	31.0	49.0	12.0	2.0	1
http://purl.obolibrary.org/obo/DOID_863	2.088400613183444	5.354624425140521	19.282064384261624	53.984670413898826	19.249361267245785	1957
http://purl.obolibrary.org/obo/DOID_0050673	2.0	23.0	61.0	13.0	2.0	1
http://purl.obolibrary.org/obo/DOID_0112007	1.0	2.0	13.0	60.0	24.0	1
http://purl.obolibrary.org/obo/DOID_127	4.6	12.733333333333333	21.066666666666666	48.266666666666666	13.4	30
http://purl.obolibrary.org/obo/DOID_3451	5.076923076923077	19.153846153846153	26.76923076923077	39.0	9.692307692307692	13
http://purl.obolibrary.org/obo/DOID_10457	3.0	7.0	26.0	53.0	11.0	1
http://purl.obolibrary.org/obo/DOID_13078	1.0	0.0	1.0	11.0	87.0	1
http://purl.obolibrary.org/obo/DOID_0060081	1.0	3.0	27.0	59.0	10.0	1
